=====================================
           Angle from tree           
=====================================
Angle : 0( 0 , 125.465 ) , ( 0 , 75.4648 )
Angle : 242( 55.3864 , 33.2795 ) , ( 11.2414 , 56.7545 )
Angle : 243( 55.8946 , 34.2519 ) , ( 11.3446 , 56.9519 )
Angle : 244( 56.3839 , 35.2305 ) , ( 11.4439 , 57.1505 )
Angle : 245( 56.8544 , 36.2217 ) , ( 11.5394 , 57.3517 )
Angle : 246( 57.306 , 37.2191 ) , ( 11.631 , 57.5541 )
Angle : 247( 57.7452 , 38.2229 ) , ( 11.7202 , 57.7579 )
Angle : 248( 58.1655 , 39.2328 ) , ( 11.8055 , 57.9628 )
Angle : 249( 58.567 , 40.2491 ) , ( 11.887 , 58.1691 )
Angle : 250( 58.9496 , 41.2779 ) , ( 11.9646 , 58.3779 )
Angle : 251( 59.3135 , 42.3067 ) , ( 12.0385 , 58.5867 )
Angle : 252( 59.6648 , 43.3481 ) , ( 12.1098 , 58.7981 )
Angle : 253( 59.991 , 44.3894 ) , ( 12.176 , 59.0094 )
Angle : 254( 60.3047 , 45.4434 ) , ( 12.2397 , 59.2234 )
Angle : 255( 60.5932 , 46.4973 ) , ( 12.2982 , 59.4373 )
Angle : 256( 60.8692 , 47.5574 ) , ( 12.3542 , 59.6524 )
Angle : 257( 61.1264 , 48.6176 ) , ( 12.4065 , 59.8676 )
Angle : 258( 61.3586 , 49.6903 ) , ( 12.4536 , 60.0853 )
Angle : 259( 61.5781 , 50.7631 ) , ( 12.4981 , 60.3031 )
Angle : 260( 61.7789 , 51.8421 ) , ( 12.5389 , 60.5221 )
Angle : 261( 61.9608 , 52.9211 ) , ( 12.5758 , 60.7411 )
Angle : 262( 62.1239 , 54 ) , ( 12.6089 , 60.96 )
Angle : 263( 62.2619 , 55.0853 ) , ( 12.6369 , 61.1803 )
Angle : 264( 62.3874 , 56.1769 ) , ( 12.6624 , 61.4019 )
Angle : 265( 62.494 , 57.2621 ) , ( 12.684 , 61.6221 )
Angle : 266( 62.5818 , 58.3537 ) , ( 12.7018 , 61.8437 )
Angle : 267( 62.6446 , 59.4515 ) , ( 12.7146 , 62.0665 )
Angle : 268( 62.6948 , 60.543 ) , ( 12.7248 , 62.288 )
Angle : 269( 62.7199 , 61.6346 ) , ( 12.7299 , 62.5096 )
Angle : 270( 62.7324 , 62.7324 ) , ( 12.7324 , 62.7324 )
Angle : 271( 62.7199 , 63.8302 ) , ( 12.7299 , 62.9552 )
Angle : 272( 62.6948 , 64.9218 ) , ( 12.7248 , 63.1768 )
Angle : 273( 62.6446 , 66.0133 ) , ( 12.7146 , 63.3983 )
Angle : 274( 62.5818 , 67.1111 ) , ( 12.7018 , 63.6211 )
Angle : 275( 62.494 , 68.2027 ) , ( 12.684 , 63.8427 )
Angle : 276( 62.3874 , 69.2879 ) , ( 12.6624 , 64.0629 )
Angle : 277( 62.2619 , 70.3795 ) , ( 12.6369 , 64.2845 )
Angle : 278( 62.1239 , 71.4647 ) , ( 12.6089 , 64.5047 )
Angle : 279( 61.9608 , 72.5437 ) , ( 12.5758 , 64.7237 )
Angle : 280( 61.7789 , 73.6227 ) , ( 12.5389 , 64.9427 )
Angle : 281( 61.5781 , 74.7017 ) , ( 12.4981 , 65.1617 )
Angle : 282( 61.3586 , 75.7745 ) , ( 12.4536 , 65.3795 )
Angle : 283( 61.1264 , 76.8472 ) , ( 12.4065 , 65.5972 )
Angle : 284( 60.8692 , 77.9074 ) , ( 12.3542 , 65.8124 )
Angle : 285( 60.5932 , 78.9675 ) , ( 12.2982 , 66.0275 )
Angle : 286( 60.3047 , 80.0214 ) , ( 12.2397 , 66.2414 )
Angle : 287( 59.991 , 81.0754 ) , ( 12.176 , 66.4554 )
Angle : 288( 59.6648 , 82.1167 ) , ( 12.1098 , 66.6667 )
Angle : 289( 59.3135 , 83.1581 ) , ( 12.0385 , 66.8781 )
Angle : 290( 58.9496 , 84.1869 ) , ( 11.9646 , 67.0869 )
Angle : 291( 58.567 , 85.2157 ) , ( 11.887 , 67.2957 )
Angle : 292( 58.1655 , 86.2319 ) , ( 11.8055 , 67.502 )
Angle : 293( 57.7452 , 87.2419 ) , ( 11.7202 , 67.7069 )
Angle : 294( 57.306 , 88.2457 ) , ( 11.631 , 67.9107 )
Angle : 295( 56.8544 , 89.2431 ) , ( 11.5394 , 68.1131 )
Angle : 296( 56.3839 , 90.2343 ) , ( 11.4439 , 68.3143 )
Angle : 297( 55.8946 , 91.2129 ) , ( 11.3446 , 68.5129 )
Angle : 298( 55.3864 , 92.1853 ) , ( 11.2414 , 68.7103 )
Angle : 299( 54.8658 , 93.1451 ) , ( 11.1358 , 68.9051 )
Angle : 300( 54.3263 , 94.0986 ) , ( 11.0263 , 69.0986 )
Angle : 301( 53.7742 , 95.0396 ) , ( 10.9142 , 69.2896 )
Angle : 302( 53.1971 , 95.9743 ) , ( 10.7971 , 69.4793 )
Angle : 303( 52.6137 , 96.8965 ) , ( 10.6787 , 69.6665 )
Angle : 304( 52.0052 , 97.8124 ) , ( 10.5552 , 69.8524 )
Angle : 305( 51.3904 , 98.7157 ) , ( 10.4304 , 70.0357 )
Angle : 306( 50.7505 , 99.6065 ) , ( 10.3005 , 70.2165 )
